feature,coefficient,abs_coefficient
categorical__ORGANIZATION_TYPE_Business Entity Type 3,0.12698799149767792,0.12698799149767792
categorical__FLAG_OWN_CAR_N,-0.12324806442584746,0.12324806442584746
categorical__WEEKDAY_APPR_PROCESS_START_MONDAY,-0.12141066508699906,0.12141066508699906
categorical__WALLSMATERIAL_MODE_Block,-0.12009092043483835,0.12009092043483835
categorical__ORGANIZATION_TYPE_Transport: type 2,-0.11592726827449425,0.11592726827449425
categorical__NAME_INCOME_TYPE_State servant,-0.1156382646983493,0.1156382646983493
categorical__WEEKDAY_APPR_PROCESS_START_SATURDAY,-0.11267484977577402,0.11267484977577402
categorical__OCCUPATION_TYPE_IT staff,-0.1108637076484243,0.1108637076484243
"categorical__NAME_TYPE_SUITE_Spouse, partner",-0.10722836808370466,0.10722836808370466
numeric__APARTMENTS_AVG,0.1057051902115515,0.1057051902115515
categorical__ORGANIZATION_TYPE_Industry: type 2,-0.10553990347213231,0.10553990347213231
numeric__NONLIVINGAPARTMENTS_MODE,0.10547967655001259,0.10547967655001259
categorical__ORGANIZATION_TYPE_Trade: type 1,0.105109820320246,0.105109820320246
numeric__LIVINGAREA_AVG,0.10089238166807107,0.10089238166807107
categorical__WEEKDAY_APPR_PROCESS_START_SUNDAY,-0.10057283305341001,0.10057283305341001
categorical__CODE_GENDER_M,-0.09886166840735636,0.09886166840735636
categorical__ORGANIZATION_TYPE_Postal,0.09861728410915664,0.09861728410915664
categorical__NAME_INCOME_TYPE_Commercial associate,-0.09734172517711308,0.09734172517711308
categorical__NAME_TYPE_SUITE_Family,-0.09726151703947443,0.09726151703947443
categorical__HOUSETYPE_MODE_specific housing,-0.09704111157615189,0.09704111157615189
categorical__ORGANIZATION_TYPE_Industry: type 7,-0.09703133096130932,0.09703133096130932
categorical__OCCUPATION_TYPE_Managers,-0.09381312380478862,0.09381312380478862
categorical__ORGANIZATION_TYPE_Trade: type 4,-0.09044356136508837,0.09044356136508837
numeric__COMMONAREA_AVG,0.09033881158513413,0.09033881158513413
categorical__FONDKAPREMONT_MODE_not specified,-0.09031432720917403,0.09031432720917403
categorical__NAME_HOUSING_TYPE_House / apartment,-0.08849761489690579,0.08849761489690579
numeric__LIVINGAPARTMENTS_AVG,-0.08803810943467634,0.08803810943467634
categorical__FONDKAPREMONT_MODE_reg oper account,-0.08745145237389691,0.08745145237389691
numeric__NONLIVINGAREA_MODE,-0.086422911968739,0.086422911968739
numeric__FLAG_DOCUMENT_6,0.08144087791304216,0.08144087791304216
numeric__NONLIVINGAPARTMENTS_MEDI,-0.08107187916902647,0.08107187916902647
categorical__OCCUPATION_TYPE_Medicine staff,-0.07978687040310858,0.07978687040310858
numeric__APARTMENTS_MEDI,-0.0788677345108666,0.0788677345108666
categorical__WALLSMATERIAL_MODE_Panel,-0.07791673721248278,0.07791673721248278
categorical__WEEKDAY_APPR_PROCESS_START_THURSDAY,-0.07734293955426495,0.07734293955426495
categorical__ORGANIZATION_TYPE_Security,0.07318752739500532,0.07318752739500532
categorical__OCCUPATION_TYPE_Security staff,0.07314219790158262,0.07314219790158262
categorical__OCCUPATION_TYPE_Drivers,0.07195298900064534,0.07195298900064534
numeric__FLAG_WORK_PHONE,0.07017493083214767,0.07017493083214767
numeric__REGION_RATING_CLIENT,-0.0699916634517826,0.0699916634517826
categorical__NAME_FAMILY_STATUS_Civil marriage,-0.06982931950573075,0.06982931950573075
categorical__NAME_TYPE_SUITE_Group of people,-0.06921285864759466,0.06921285864759466
numeric__LANDAREA_AVG,0.06911497300378479,0.06911497300378479
numeric__LANDAREA_MEDI,-0.06907559868328268,0.06907559868328268
categorical__OCCUPATION_TYPE_HR staff,0.06800169828473868,0.06800169828473868
numeric__ELEVATORS_MEDI,-0.06776566082567928,0.06776566082567928
numeric__ENTRANCES_AVG,-0.06760455241032477,0.06760455241032477
numeric__CNT_FAM_MEMBERS,0.06539194068323632,0.06539194068323632
categorical__NAME_HOUSING_TYPE_With parents,-0.06434164652127804,0.06434164652127804
numeric__LIVINGAREA_MEDI,-0.06407732716819882,0.06407732716819882
numeric__FLAG_DOCUMENT_4,-0.06348662727469613,0.06348662727469613
numeric__REG_CITY_NOT_LIVE_CITY,0.06203824735509978,0.06203824735509978
numeric__ENTRANCES_MEDI,0.0620182990981761,0.0620182990981761
numeric__DAYS_ID_PUBLISH,0.06158621221086705,0.06158621221086705
categorical__ORGANIZATION_TYPE_Trade: type 5,-0.06135599660436469,0.06135599660436469
categorical__ORGANIZATION_TYPE_Industry: type 4,-0.0610843106354597,0.0610843106354597
numeric__DAYS_LAST_PHONE_CHANGE,0.05994186271519118,0.05994186271519118
categorical__WALLSMATERIAL_MODE_Wooden,-0.05942047144838562,0.05942047144838562
categorical__NAME_TYPE_SUITE_Unaccompanied,-0.05655863202642802,0.05655863202642802
numeric__COMMONAREA_MODE,0.05291848662404635,0.05291848662404635
categorical__ORGANIZATION_TYPE_Transport: type 4,0.05267705601306107,0.05267705601306107
categorical__OCCUPATION_TYPE_Secretaries,0.051494617507785334,0.051494617507785334
numeric__FLAG_DOCUMENT_16,-0.049279151303429636,0.049279151303429636
categorical__ORGANIZATION_TYPE_Government,-0.04821078088549259,0.04821078088549259
numeric__AMT_REQ_CREDIT_BUREAU_QRT,-0.04766630713107935,0.04766630713107935
categorical__ORGANIZATION_TYPE_Medicine,-0.04766606164077807,0.04766606164077807
numeric__FLAG_DOCUMENT_13,-0.04709292665500203,0.04709292665500203
numeric__NONLIVINGAREA_AVG,0.04705728795214382,0.04705728795214382
categorical__NAME_HOUSING_TYPE_Co-op apartment,-0.046864940531010583,0.046864940531010583
categorical__OCCUPATION_TYPE_Cleaning staff,0.04664650539271762,0.04664650539271762
categorical__ORGANIZATION_TYPE_Business Entity Type 2,0.04641227648878484,0.04641227648878484
"categorical__WALLSMATERIAL_MODE_Stone, brick",-0.04617119136380189,0.04617119136380189
numeric__DEF_30_CNT_SOCIAL_CIRCLE,0.04506411591829055,0.04506411591829055
numeric__FLAG_DOCUMENT_18,-0.04468787198855498,0.04468787198855498
numeric__DAYS_REGISTRATION,0.0432937023764221,0.0432937023764221
categorical__WEEKDAY_APPR_PROCESS_START_FRIDAY,-0.043138576159021384,0.043138576159021384
categorical__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,-0.04212544623741222,0.04212544623741222
categorical__ORGANIZATION_TYPE_Housing,0.04207139098605942,0.04207139098605942
numeric__ENTRANCES_MODE,-0.04148336184966066,0.04148336184966066
categorical__NAME_FAMILY_STATUS_Single / not married,-0.04073893994297256,0.04073893994297256
